iter	Passed	Remaining
1546	8652	19313
1547	8654	19300
1548	8658	19290
1549	8664	19285
1550	8668	19276
1551	8670	19262
1552	8672	19248
1553	8673	19234
1554	8679	19228
1555	8683	19219
1556	8684	19204
1557	8686	19191
1558	8689	19178
1559	8693	19170
1560	8698	19164
1561	8701	19151
1562	8703	19137
1563	8704	19124
1564	8710	19119
1565	8715	19112
1566	8717	19099
1567	8719	19085
1568	8722	19072
1569	8729	19071
1570	8734	19063
1571	8736	19050
1572	8738	19037
1573	8743	19031
1574	8748	19023
1575	8750	19010
1576	8751	18996
1577	8753	18983
1578	8758	18975
1579	8764	18971
1580	8766	18958
1581	8769	18946
1582	8772	18934
1583	8779	18932
1584	8781	18920
1585	8783	18907
1586	8785	18893
1587	8787	18881
1588	8793	18876
1589	8797	18867
1590	8799	18854
1591	8801	18841
1592	8806	18835
1593	8813	18831
1594	8816	18822
1595	8832	18838
1596	8849	18858
1597	8866	18877
1598	8877	18881
1599	8884	18878
1600	8892	18878
1601	8897	18873
1602	8902	18864
1603	8908	18861
1604	8913	18854
1605	8918	18846
1606	8926	18846
1607	8931	18841
1608	8940	18842
1609	8944	18834
1610	8946	18821
1611	8948	18808
1612	8954	18802
1613	8959	18795
1614	8961	18783
1615	8964	18772
1616	8968	18763
1617	8977	18764
1618	8980	18753
1619	8982	18741
1620	8987	18735
1621	8991	18726
1622	8993	18712
1623	8995	18699
1624	8997	18686
1625	8999	18673
1626	9005	18668
1627	9008	18658
1628	9010	18645
1629	9012	18632
1630	9014	18619
1631	9020	18615
1632	9025	18609
1633	9027	18596
1634	9029	18583
1635	9032	18572
1636	9039	18569
1637	9042	18559
1638	9044	18546
1639	9046	18533
1640	9051	18528
1641	9059	18527
1642	9062	18515
1643	9066	18507
1644	9071	18500
1645	9073	18489
1646	9075	18475
1647	9077	18462
1648	9079	18450
1649	9085	18446
1650	9089	18437
1651	9091	18425
1652	9093	18413
1653	9098	18406
1654	9103	18400
1655	9106	18388
1656	9107	18374
1657	9109	18361
1658	9111	18349
1659	9118	18347
1660	9122	18338
1661	9124	18325
1662	9126	18312
1663	9129	18302
1664	9492	19013
1665	9667	19345
1666	9671	19337
1667	9683	19344
1668	9688	19337
1669	9693	19329
1670	9702	19329
1671	9708	19323
1672	9719	19329
1673	9740	19353
1674	9751	19358
1675	9762	19361
1676	9775	19370
1677	9863	19526
1678	9871	19525
1679	9908	19580
1680	9922	19592
1681	9948	19624
1682	9956	19622
